-- Name|ID|count(DBChecks)|count(rootChecks)|count(cellChecks)|count(switchChecks)|OTHERS|Description
-- OTHERS: EXALOGIC=COUNT:EXALOGIC_VM=COUNT:EXALOGIC_CVM=COUNT:ODA_VM=COUNT
dbcheck_pdit|271BD73C756AE5EDE0530B98EB0A6A13|0|1|18|9||PDIT Cloud checks|1
workload-baseline|7B24AAA3A91E2BC7E053D598EB0AC1F7|1|0|0|0|ODA_VM=1|Re-generate baseline for capture data from Automatic workload repository(AWR)|1
goldengate|DFE9C207A8F2428CE04313C0E50A6B0A|26|0|0|0||Oracle GoldenGate checks|0
ovn|178E758EB8CA06D8E0530D98EB0A7AC9|0|0|0|0||Oracle Virtual Networking|1
ahf|76C0415C71E2E7CBE053D498EB0A59FC|0|1|0|0|ODA_VM=1|Autonomous Health Framework related checks|0
clusterware|D49B218473787400E0431EC0E50A0BB9|3|25|0|0|ODA_VM=45|Oracle clusterware checks|0
workload-capacity|775E9AE0501AF5FAE053D598EB0AA92E|2|0|0|0||Validation of key database capacity matrices using Automatic workload repository|1
storage|D49C0AB26A6D45A8E0431EC0E50ADE06|0|1|286|0||Oracle Storage Server Checks|0
sysadmin|D49C4F9F48735396E0431EC0E50A9A0B|1|269|291|128|EXALOGIC=194:EXALOGIC_VM=202:EXALOGIC_CVM=188:ODA_VM=72|Sysadmin checks|0
ebs|E8DF76E07DD82E0DE04313C0E50AA55D|194|0|0|0|ODA_VM=195|Oracle E-Business Suite checks|0
emagent|06702DE980726771E05313C0E50ACF83|0|4|0|0||Cloud control agent checks|0
em|F9ED0179CCD8256BE04312C0E50A5399|18|4|0|0||Cloud control checks|0
oam|1B0907A7BA8CA932E0530C98EB0A0947|0|0|0|0|ODA_VM=1|Oracle Access Manager checks|0
oim|1B0907A7BA8DA932E0530C98EB0A0947|19|0|0|0|ODA_VM=1|Oracle Identify Manager checks|0
oud|1B0907A7BA8EA932E0530C98EB0A0947|0|0|0|0|ODA_VM=1|Oracle Unified Directory server checks|0
pdit|3E121C16D3714EE0E0530E98EB0A6C66|31|278|283|128|EXALOGIC=194:EXALOGIC_VM=202:EXALOGIC_CVM=188:ODA_VM=114|Exadata checks for PDIT|1
exacstier1|53C6697D0F4E825DE0530D98EB0A38AF|40|52|136|16|ODA_VM=26|Most impact-full check for Oracle Exadata Cloud Service|1
oratier1|68A6BCC041C53A8FE053D398EB0AA546|23|12|0|0|ODA_VM=11|Most impact-full checks for non-engineered systems|0
workload-ash|766623EFB8C72878E053D198EB0A9642|2|0|0|0||Validation of key database workload matrices using Active session History|1
